"b_Habitat_QualityMed_1","b_Habitat_QualityHigh_1","b_Trail_ConditionMed_1","b_Trail_ConditionHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","b_cost_2","delta_2","eta_scale2","logLike"
0.34,0.65,0.43,0.62,0.31,0.36,-0.008,-0.02,-1,-0.5,-5317.30620642154
0.503094357416506,0.798411557869702,0.606942760080919,0.741691743419702,0.449899060141361,0.509654970965442,-0.00473771877843627,-0.0237233863303828,-2.35402113052812,-0.313829889769669,-4968.45778898536
0.730733322412859,0.967078454413557,0.766114727314811,0.823886704782931,0.564490754480595,0.678464897748296,-0.00311239870923862,-0.0784094943635514,-6.23261761510804,1.99132960034539,-4881.37061130723
0.741980294570902,1.02673329768414,0.808227911683473,0.910359532672128,0.580314571078059,0.718865266321561,-0.00370432978466716,-0.0907057863765,-5.11563693233238,0.708492158284154,-4853.9331083494
0.77636936970015,1.1167563977758,0.856594114727128,0.994317801753884,0.603976802888528,0.760792140529401,-0.00413065741483176,-0.0830911053191339,-3.2381224979752,-0.282808399187465,-4832.69364071635
0.788682150064242,1.10984222391048,0.847632615852602,0.967583208738212,0.600329867239858,0.747560480668314,-0.00376032297010419,-0.0669696514138314,-3.55342425549133,0.58788607089672,-4824.64158964286
0.789510319391698,1.10555551719902,0.838327215622997,0.955867201277547,0.594611354028369,0.735398896497551,-0.00361960646157443,-0.057540223163029,-3.31997666074565,0.835392959775863,-4822.5223600853
0.799604709517158,1.10771315291758,0.84147502332478,0.952173556244473,0.599808695160445,0.737718079084978,-0.003424947494911,-0.0549517286139369,-3.2682013248665,0.899112737227371,-4822.37860375399
0.796476515213187,1.10283718516439,0.838780201339234,0.949673723503146,0.597786101411509,0.73436541246585,-0.00340369565262639,-0.055141584074406,-3.27256377122062,0.899162306828678,-4822.36780283443
0.796519637790295,1.10240853292177,0.839107960602366,0.949745040893943,0.598198786769852,0.734802822438444,-0.00339635512388845,-0.055254622243499,-3.27499734238469,0.895328225098788,-4822.36711243922
0.796474909564846,1.10227948128312,0.83919017056256,0.949727198794986,0.598269562133667,0.734939392309528,-0.00339347860089845,-0.0552778574410211,-3.27495984538055,0.894089060362972,-4822.36707411283
0.796457686383959,1.10227106312569,0.839192749447866,0.94971923406705,0.598270209001027,0.734958583701513,-0.00339325471009335,-0.0552803527483624,-3.2748114298242,0.893853454871202,-4822.36707282439
0.796455173790495,1.10227308804846,0.839191266685223,0.94971790047338,0.598268081380208,0.734959177271603,-0.00339326429524676,-0.0552806482387853,-3.2747669324536,0.893807537644129,-4822.36707276532
