"Choice.Task","block","Chosen.Alternative","Habitat","Trail","Crowd","Cost"
1,1,1,2,1,2,5
1,1,2,3,3,3,2
1,1,3,0,0,0,0
2,1,1,2,3,2,20
2,1,2,1,2,3,5
2,1,3,0,0,0,0
3,1,1,3,2,2,10
3,1,2,2,3,1,50
3,1,3,0,0,0,0
4,1,1,1,2,1,2
4,1,2,1,1,3,10
4,1,3,0,0,0,0
5,2,1,1,3,2,5
5,2,2,2,1,1,20
5,2,3,0,0,0,0
6,2,1,2,2,3,50
6,2,2,2,3,2,20
6,2,3,0,0,0,0
7,2,1,3,2,1,2
7,2,2,1,1,3,10
7,2,3,0,0,0,0
8,2,1,1,2,3,50
8,2,2,3,1,1,10
8,2,3,0,0,0,0
9,3,1,2,1,3,50
9,3,2,3,2,1,20
9,3,3,0,0,0,0
10,3,1,3,3,3,2
10,3,2,1,2,1,5
10,3,3,0,0,0,0
11,3,1,3,3,2,5
11,3,2,2,2,2,10
11,3,3,0,0,0,0
12,3,1,2,1,1,10
12,3,2,1,3,2,2
12,3,3,0,0,0,0
13,4,1,3,3,2,50
13,4,2,2,2,3,20
13,4,3,0,0,0,0
14,4,1,1,2,1,10
14,4,2,1,3,3,5
14,4,3,0,0,0,0
15,4,1,2,3,1,20
15,4,2,3,1,2,50
15,4,3,0,0,0,0
16,4,1,1,1,3,2
16,4,2,2,2,2,5
16,4,3,0,0,0,0
